2026-08-09T16:01:38.285+09:00  INFO 14460 --- [CardCapture-back] [File Watcher] rtingClassPathChangeChangedEventListener : Restarting due to 1 class path change (1 addition, 0 deletions, 0 modifications)
2026-08-09T16:01:56.506+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=3 / num=9 / card-c:309
2026-08-09T16:01:56.506+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 310 / suitLダイヤ s:3 / num: 10 numLab:10
2026-08-09T16:01:56.507+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=3 / num=10 / card-c:310
2026-08-09T16:01:56.507+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 311 / suitLダイヤ s:3 / num: 11 numLab:ジャック
2026-08-09T16:01:56.507+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=3 / num=11 / card-c:311
2026-08-09T16:01:56.507+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 312 / suitLダイヤ s:3 / num: 12 numLab:クイーン
2026-08-09T16:01:56.507+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=3 / num=12 / card-c:312
2026-08-09T16:01:56.507+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 313 / suitLダイヤ s:3 / num: 13 numLab:キング
2026-08-09T16:01:56.507+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=3 / num=13 / card-c:313
2026-08-09T16:01:56.508+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 314 / suitLダイヤ s:3 / num: 14 numLab:エース
2026-08-09T16:01:56.508+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=3 / num=14 / card-c:314
2026-08-09T16:01:56.508+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 402 / suitLクラブ s:4 / num: 2 numLab:2
2026-08-09T16:01:56.508+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=4 / num=2 / card-c:402
2026-08-09T16:01:56.508+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 403 / suitLクラブ s:4 / num: 3 numLab:3
2026-08-09T16:01:56.508+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=4 / num=3 / card-c:403
2026-08-09T16:01:56.508+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 404 / suitLクラブ s:4 / num: 4 numLab:4
2026-08-09T16:01:56.508+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=4 / num=4 / card-c:404
